	data	label
78	[ 1.  1. -1. ...  0.  0.  0.]	36
79	[ 1. -1.  1. ...  0.  0.  0.]	40
80	[ 1. -1. -1. ...  0.  0.  0.]	0
81	[ 1. -1. -1. ...  0.  0.  0.]	19
82	[-1.  1. -1. ...  0.  0.  0.]	57
83	[ 1.  1. -1. ...  0.  0.  0.]	7
84	[ 1. -1.  1. ... -1.  1. -1.]	69
85	[-1.  1.  1. ...  0.  0.  0.]	59
86	[ 1.  1. -1. ...  0.  0.  0.]	2
87	[-1. -1.  1. ...  0.  0.  0.]	92
88	[-1.  1.  1. ... -1. -1. -1.]	58
89	[-1.  1. -1. ...  0.  0.  0.]	33
90	[ 1.  1.  1. ... -1. -1. -1.]	91
91	[-1.  1. -1. ...  0.  0.  0.]	68
92	[ 1.  1. -1. ...  0.  0.  0.]	15
93	[-1.  1.  1. ...  0.  0.  0.]	32
94	[ 1. -1.  1. ...  0.  0.  0.]	29
95	[ 1. -1.  1. ...  0.  0.  0.]	37
96	[ 1.  1. -1. ...  0.  0.  0.]	66
97	[ 1.  1. -1. ...  0.  0.  0.]	93
98	[-1. -1.  1. ...  1. -1. -1.]	63
99	[ 1. -1.  1. ...  0.  0.  0.]	67
100	[-1.  1.  1. ... -1. -1. -1.]	58
101	[ 1. -1. -1. ...  0.  0.  0.]	1
102	[-1.  1.  1. ...  0.  0.  0.]	70
103	[ 1. -1.  1. ...  0.  0.  0.]	7
104	[ 1.  1. -1. ...  0.  0.  0.]	12
105	[-1.  1. -1. ...  0.  0.  0.]	51
106	[ 1.  1.  1. ... -1. -1. -1.]	60
107	[1. 1. 1. ... 0. 0. 0.]	46
108	[-1.  1. -1. ...  0.  0.  0.]	30
109	[ 1. -1. -1. ... -1. -1. -1.]	29
110	[ 1.  1. -1. ... -1. -1. -1.]	45
111	[ 1. -1.  1. ...  0.  0.  0.]	31
112	[-1. -1.  1. ...  0.  0.  0.]	58
113	[-1.  1. -1. ...  0.  0.  0.]	55
114	[ 1.  1. -1. ...  0.  0.  0.]	12
115	[ 1. -1.  1. ...  0.  0.  0.]	79
116	[-1.  1. -1. ... -1. -1. -1.]	52
117	[ 1.  1. -1. ...  0.  0.  0.]	8
118	[ 1. -1. -1. ...  0.  0.  0.]	3
119	[ 1. -1.  1. ... -1. -1. -1.]	73
120	[ 1. -1.  1. ...  0.  0.  0.]	66
121	[ 1. -1.  1. ...  0.  0.  0.]	50
122	[1. 1. 1. ... 0. 0. 0.]	30
123	[1. 1. 1. ... 0. 0. 0.]	72
124	[-1.  1.  1. ...  0.  0.  0.]	59
125	[ 1. -1. -1. ...  0.  0.  0.]	59
126	[ 1. -1.  1. ...  0.  0.  0.]	15
127	[-1. -1.  1. ...  0.  0.  0.]	41
128	[ 1. -1. -1. ... -1.  1.  1.]	83
129	[-1. -1.  1. ... -1. -1. -1.]	49
130	[ 1.  1. -1. ... -1. -1. -1.]	47
131	[-1.  1. -1. ...  0.  0.  0.]	38
132	[ 1. -1.  1. ...  0.  0.  0.]	2
133	[ 1. -1.  1. ... -1. -1. -1.]	60
134	[-1.  1. -1. ...  0.  0.  0.]	38
135	[-1.  1.  1. ... -1. -1. -1.]	49
136	[ 1. -1.  1. ...  0.  0.  0.]	7
137	[-1.  1.  1. ...  0.  0.  0.]	63
138	[ 1.  1. -1. ...  0.  0.  0.]	92
139	[ 1. -1.  1. ...  0.  0.  0.]	33
140	[ 1. -1. -1. ... -1. -1. -1.]	49
141	[ 1. -1.  1. ...  0.  0.  0.]	65
142	[-1.  1. -1. ...  0.  0.  0.]	27
143	[ 1. -1.  1. ... -1. -1. -1.]	17
144	[ 1. -1. -1. ...  0.  0.  0.]	7
145	[ 1. -1.  1. ...  0.  0.  0.]	24
146	[-1. -1.  1. ...  0.  0.  0.]	59
147	[ 1. -1.  1. ...  0.  0.  0.]	46
148	[ 1. -1.  1. ... -1. -1. -1.]	48
149	[-1.  1.  1. ... -1. -1. -1.]	80
150	[-1. -1. -1. ... -1. -1. -1.]	68
151	[ 1. -1.  1. ...  0.  0.  0.]	3
152	[ 1.  1. -1. ...  0.  0.  0.]	77
153	[-1. -1.  1. ...  0.  0.  0.]	65
154	[ 1. -1.  1. ...  0.  0.  0.]	88
155	[ 1. -1. -1. ...  0.  0.  0.]	8
156	[ 1. -1.  1. ...  0.  0.  0.]	0
157	[ 1. -1.  1. ...  0.  0.  0.]	12
158	[ 1. -1.  1. ...  0.  0.  0.]	6
159	[ 1. -1.  1. ...  0.  0.  0.]	6
160	[-1.  1. -1. ...  0.  0.  0.]	16
161	[ 1.  1. -1. ...  0.  0.  0.]	86
162	[-1. -1.  1. ...  0.  0.  0.]	56
163	[-1. -1.  1. ...  0.  0.  0.]	76
164	[-1.  1.  1. ...  0.  0.  0.]	41
165	[ 1. -1.  1. ...  0.  0.  0.]	22
166	[ 1. -1.  1. ...  0.  0.  0.]	3
167	[ 1.  1. -1. ...  0.  0.  0.]	37
168	[1. 1. 1. ... 0. 0. 0.]	78
169	[ 1. -1.  1. ... -1. -1. -1.]	10
170	[ 1.  1. -1. ...  0.  0.  0.]	72
171	[-1.  1. -1. ...  0.  0.  0.]	81
172	[-1. -1. -1. ...  0.  0.  0.]	61
173	[-1. -1.  1. ...  0.  0.  0.]	51
174	[-1.  1. -1. ...  0.  0.  0.]	55
175	[-1.  1. -1. ...  0.  0.  0.]	28
176	[1. 1. 1. ... 0. 0. 0.]	6
177	[ 1. -1. -1. ... -1. -1. -1.]	47
178	[-1.  1. -1. ...  0.  0.  0.]	39
179	[ 1. -1.  1. ...  0.  0.  0.]	0
180	[-1.  1. -1. ... -1. -1. -1.]	17
181	[-1.  1.  1. ...  0.  0.  0.]	38
182	[-1. -1.  1. ...  0.  0.  0.]	72
183	[-1.  1. -1. ...  1.  1.  1.]	47
184	[-1. -1.  1. ...  0.  0.  0.]	81
185	[ 1. -1.  1. ...  0.  0.  0.]	57
186	[ 1. -1. -1. ...  0.  0.  0.]	12
187	[ 1. -1.  1. ...  1.  1. -1.]	24
188	[-1. -1. -1. ... -1. -1.  1.]	45
189	[ 1. -1.  1. ...  0.  0.  0.]	4
190	[-1.  1. -1. ...  0.  0.  0.]	17
191	[ 1. -1.  1. ...  0.  0.  0.]	31
192	[-1.  1.  1. ...  0.  0.  0.]	59
193	[-1. -1. -1. ...  0.  0.  0.]	89
194	[ 1. -1. -1. ...  0.  0.  0.]	79
195	[-1. -1.  1. ...  0.  0.  0.]	61
196	[-1. -1.  1. ...  0.  0.  0.]	35
197	[ 1.  1.  1. ...  1. -1. -1.]	69
198	[ 1. -1.  1. ...  0.  0.  0.]	1
199	[-1.  1. -1. ...  0.  0.  0.]	24
200	[-1. -1. -1. ...  0.  0.  0.]	65
201	[ 1. -1.  1. ...  0.  0.  0.]	57
202	[ 1. -1. -1. ...  0.  0.  0.]	24
203	[ 1. -1.  1. ...  0.  0.  0.]	33
204	[-1. -1.  1. ... -1. -1. -1.]	69
205	[1. 1. 1. ... 0. 0. 0.]	94
206	[-1. -1. -1. ... -1. -1. -1.]	83
207	[ 1. -1.  1. ...  0.  0.  0.]	0
208	[-1.  1.  1. ... -1. -1. -1.]	80
209	[ 1.  1. -1. ...  0.  0.  0.]	84
210	[-1. -1. -1. ...  0.  0.  0.]	74
211	[ 1. -1.  1. ...  0.  0.  0.]	39
212	[-1. -1.  1. ...  0.  0.  0.]	92
213	[ 1. -1. -1. ...  0.  0.  0.]	87
214	[-1. -1.  1. ...  0.  0.  0.]	26
215	[ 1. -1.  1. ... -1. -1. -1.]	2
216	[ 1. -1.  1. ...  0.  0.  0.]	73
217	[1. 1. 1. ... 0. 0. 0.]	79
218	[-1.  1.  1. ...  0.  0.  0.]	86
219	[-1. -1.  1. ...  0.  0.  0.]	76
220	[ 1.  1. -1. ...  0.  0.  0.]	2
221	[-1. -1.  1. ... -1. -1. -1.]	49
222	[-1. -1. -1. ... -1. -1. -1.]	52
223	[-1.  1. -1. ...  0.  0.  0.]	81
224	[ 1. -1.  1. ...  0.  0.  0.]	7
225	[ 1.  1. -1. ...  0.  0.  0.]	77
226	[-1. -1.  1. ...  0.  0.  0.]	57
227	[ 1. -1. -1. ... -1. -1. -1.]	13
228	[-1.  1.  1. ... -1. -1. -1.]	91
229	[-1.  1.  1. ...  0.  0.  0.]	89
230	[-1. -1.  1. ...  0.  0.  0.]	65
231	[1. 1. 1. ... 0. 0. 0.]	8
232	[1. 1. 1. ... 0. 0. 0.]	12
233	[1. 1. 1. ... 0. 0. 0.]	62
234	[-1.  1. -1. ...  0.  0.  0.]	79
235	[-1.  1. -1. ...  0.  0.  0.]	93
236	[ 1. -1.  1. ... -1. -1. -1.]	58
237	[-1.  1. -1. ...  0.  0.  0.]	51
238	[-1.  1.  1. ...  0.  0.  0.]	74
239	[ 1.  1. -1. ...  0.  0.  0.]	74
240	[ 1. -1.  1. ...  0.  0.  0.]	46
241	[-1.  1. -1. ...  0.  0.  0.]	74
242	[-1. -1.  1. ...  0.  0.  0.]	36
243	[-1. -1. -1. ...  0.  0.  0.]	92
244	[-1.  1.  1. ...  0.  0.  0.]	38
245	[ 1. -1.  1. ... -1. -1. -1.]	52
246	[ 1. -1.  1. ... -1. -1. -1.]	20
247	[ 1.  1. -1. ...  0.  0.  0.]	14
248	[-1. -1.  1. ...  1.  1.  1.]	85
249	[ 1. -1. -1. ...  0.  0.  0.]	92
250	[ 1. -1.  1. ...  0.  0.  0.]	32
251	[-1.  1.  1. ... -1. -1.  1.]	47
252	[ 1.  1. -1. ...  1. -1. -1.]	83
253	[ 1.  1. -1. ...  0.  0.  0.]	5
254	[-1.  1.  1. ...  0.  0.  0.]	53
255	[ 1. -1.  1. ...  0.  0.  0.]	8
256	[ 1. -1.  1. ...  0.  0.  0.]	94
257	[-1.  1. -1. ...  0.  0.  0.]	79
258	[1. 1. 1. ... 0. 0. 0.]	12
259	[ 1.  1. -1. ...  0.  0.  0.]	27
260	[ 1.  1. -1. ...  0.  0.  0.]	30
261	[1. 1. 1. ... 0. 0. 0.]	40
262	[-1.  1.  1. ...  1. -1. -1.]	91
263	[ 1. -1. -1. ...  0.  0.  0.]	22
264	[ 1. -1. -1. ...  0.  0.  0.]	59
265	[ 1. -1.  1. ... -1. -1. -1.]	33
266	[ 1. -1.  1. ...  0.  0.  0.]	26
267	[ 1.  1. -1. ...  0.  0.  0.]	77
268	[ 1. -1.  1. ...  1. -1. -1.]	29
269	[ 1.  1. -1. ... -1.  1. -1.]	47
270	[-1. -1.  1. ... -1. -1. -1.]	60
271	[ 1. -1. -1. ...  0.  0.  0.]	42
272	[ 1. -1.  1. ...  0.  0.  0.]	67
273	[ 1.  1. -1. ...  0.  0.  0.]	39
274	[ 1. -1.  1. ...  1. -1. -1.]	21
275	[ 1.  1. -1. ...  0.  0.  0.]	71
276	[ 1.  1.  1. ... -1. -1. -1.]	52
277	[-1.  1. -1. ...  0.  0.  0.]	47
278	[ 1.  1. -1. ... -1. -1. -1.]	65
279	[ 1.  1. -1. ...  0.  0.  0.]	30
280	[-1.  1.  1. ...  0.  0.  0.]	93
281	[ 1. -1.  1. ...  0.  0.  0.]	12
282	[-1. -1.  1. ... -1. -1. -1.]	80
283	[ 1. -1.  1. ...  0.  0.  0.]	93
284	[-1.  1.  1. ...  0.  0.  0.]	33
285	[ 1.  1. -1. ...  0.  0.  0.]	2
286	[1. 1. 1. ... 0. 0. 0.]	37
287	[-1. -1.  1. ... -1. -1. -1.]	48
288	[ 1.  1. -1. ...  0.  0.  0.]	33
289	[ 1. -1.  1. ...  0.  0.  0.]	1
290	[ 1.  1. -1. ...  0.  0.  0.]	24
291	[ 1. -1. -1. ... -1. -1. -1.]	45
292	[-1.  1. -1. ...  0.  0.  0.]	94
293	[-1. -1.  1. ...  0.  0.  0.]	46
294	[ 1.  1.  1. ... -1. -1. -1.]	33
295	[-1.  1.  1. ...  0.  0.  0.]	77
296	[ 1. -1.  1. ...  0.  0.  0.]	3
297	[ 1. -1.  1. ...  0.  0.  0.]	7
298	[ 1. -1.  1. ...  0.  0.  0.]	74
299	[ 1. -1.  1. ...  0.  0.  0.]	36
300	[ 1. -1.  1. ...  0.  0.  0.]	66
301	[ 1.  1. -1. ...  0.  0.  0.]	93
302	[-1.  1.  1. ...  0.  0.  0.]	81
303	[ 1. -1.  1. ...  0.  0.  0.]	22
304	[-1.  1.  1. ... -1.  1. -1.]	69
305	[ 1.  1. -1. ...  0.  0.  0.]	9
306	[-1.  1. -1. ... -1. -1. -1.]	47
307	[ 1. -1.  1. ...  0.  0.  0.]	41
308	[ 1. -1.  1. ...  0.  0.  0.]	19
309	[ 1. -1. -1. ...  0.  0.  0.]	0
310	[ 1. -1.  1. ...  0.  0.  0.]	0
311	[ 1. -1. -1. ...  0.  0.  0.]	7
312	[ 1. -1.  1. ...  0.  0.  0.]	11
313	[ 1.  1. -1. ...  0.  0.  0.]	52
314	[-1.  1. -1. ...  0.  0.  0.]	38
315	[1. 1. 1. ... 0. 0. 0.]	4
316	[ 1. -1.  1. ...  0.  0.  0.]	65
317	[-1. -1. -1. ...  0.  0.  0.]	89
318	[-1. -1.  1. ...  0.  0.  0.]	74
319	[1. 1. 1. ... 0. 0. 0.]	88
320	[-1.  1.  1. ...  0.  0.  0.]	92
321	[ 1. -1. -1. ...  0.  0.  0.]	3
322	[1. 1. 1. ... 0. 0. 0.]	43
323	[-1. -1. -1. ... -1. -1. -1.]	47
324	[ 1.  1. -1. ...  0.  0.  0.]	47
325	[ 1. -1.  1. ...  1.  1.  1.]	49
326	[ 1.  1. -1. ...  0.  0.  0.]	3
327	[-1.  1.  1. ...  0.  0.  0.]	54
328	[1. 1. 1. ... 0. 0. 0.]	90
329	[ 1.  1. -1. ...  0.  0.  0.]	90
330	[-1.  1.  1. ...  0.  0.  0.]	46
331	[ 1.  1. -1. ...  0.  0.  0.]	46
332	[-1.  1.  1. ...  0.  0.  0.]	22
333	[ 1. -1.  1. ... -1. -1. -1.]	48
334	[-1. -1.  1. ...  0.  0.  0.]	84
335	[1. 1. 1. ... 0. 0. 0.]	76
336	[-1. -1.  1. ...  0.  0.  0.]	43
337	[ 1. -1.  1. ...  0.  0.  0.]	28
338	[ 1.  1. -1. ...  0.  0.  0.]	14
339	[-1.  1. -1. ...  0.  0.  0.]	84
340	[-1.  1.  1. ...  0.  0.  0.]	81
341	[1. 1. 1. ... 0. 0. 0.]	53
342	[-1.  1.  1. ...  0.  0.  0.]	51
343	[1. 1. 1. ... 0. 0. 0.]	56
344	[ 1.  1. -1. ...  0.  0.  0.]	54
345	[ 1. -1.  1. ...  0.  0.  0.]	7
346	[ 1.  1. -1. ...  0.  0.  0.]	23
347	[-1.  1.  1. ...  0.  0.  0.]	3
348	[ 1. -1.  1. ... -1. -1. -1.]	45
349	[-1.  1.  1. ... -1. -1. -1.]	60
350	[-1. -1. -1. ...  0.  0.  0.]	57
351	[-1. -1. -1. ...  0.  0.  0.]	32
352	[-1. -1.  1. ...  0.  0.  0.]	89
353	[ 1. -1.  1. ...  0.  0.  0.]	43
354	[ 1.  1. -1. ...  0.  0.  0.]	36
355	[ 1. -1.  1. ...  0.  0.  0.]	0
356	[ 1. -1.  1. ...  0.  0.  0.]	86
357	[-1. -1. -1. ...  0.  0.  0.]	52
358	[-1.  1. -1. ...  0.  0.  0.]	24
359	[1. 1. 1. ... 0. 0. 0.]	71
360	[ 1. -1. -1. ...  0.  0.  0.]	41
361	[ 1. -1.  1. ...  0.  0.  0.]	93
362	[ 1.  1. -1. ...  0.  0.  0.]	35
363	[-1.  1. -1. ...  0.  0.  0.]	56
364	[-1.  1. -1. ...  1. -1. -1.]	47
365	[ 1. -1.  1. ...  0.  0.  0.]	28
366	[1. 1. 1. ... 0. 0. 0.]	30
367	[ 1.  1. -1. ...  0.  0.  0.]	56
368	[ 1.  1. -1. ...  0.  0.  0.]	43
369	[1. 1. 1. ... 0. 0. 0.]	78
370	[ 1. -1.  1. ...  0.  0.  0.]	66
371	[-1. -1.  1. ... -1. -1. -1.]	60
372	[-1.  1. -1. ...  0.  0.  0.]	43
373	[ 1. -1.  1. ...  0.  0.  0.]	94
374	[-1.  1.  1. ...  0.  0.  0.]	74
375	[ 1.  1. -1. ...  0.  0.  0.]	3
376	[ 1. -1.  1. ...  0.  0.  0.]	1
377	[-1.  1. -1. ...  0.  0.  0.]	56
378	[ 1.  1. -1. ...  0.  0.  0.]	54
379	[-1.  1.  1. ...  0.  0.  0.]	86
380	[ 1. -1.  1. ...  0.  0.  0.]	4
381	[-1. -1.  1. ...  0.  0.  0.]	24
382	[-1.  1. -1. ... -1. -1.  1.]	45
383	[ 1. -1.  1. ...  0.  0.  0.]	14
384	[ 1. -1.  1. ...  0.  0.  0.]	4
385	[ 1.  1. -1. ... -1. -1. -1.]	85
386	[ 1. -1.  1. ...  0.  0.  0.]	25
387	[ 1. -1.  1. ... -1. -1. -1.]	29
388	[1. 1. 1. ... 0. 0. 0.]	28
389	[ 1. -1.  1. ...  0.  0.  0.]	9
390	[-1.  1.  1. ...  0.  0.  0.]	68
391	[-1.  1.  1. ...  0.  0.  0.]	32
392	[ 1. -1.  1. ... -1. -1. -1.]	91
393	[-1.  1. -1. ...  0.  0.  0.]	76
394	[ 1.  1. -1. ...  0.  0.  0.]	24
395	[ 1. -1.  1. ... -1. -1. -1.]	80
396	[1. 1. 1. ... 0. 0. 0.]	67
397	[ 1. -1.  1. ...  0.  0.  0.]	46
398	[-1.  1.  1. ... -1. -1. -1.]	80
399	[ 1.  1. -1. ...  0.  0.  0.]	82
400	[ 1. -1.  1. ...  0.  0.  0.]	15
401	[-1. -1.  1. ...  0.  0.  0.]	57
402	[-1.  1. -1. ...  0.  0.  0.]	39
403	[ 1. -1.  1. ...  0.  0.  0.]	86
404	[ 1. -1. -1. ...  0.  0.  0.]	15
405	[ 1. -1.  1. ...  0.  0.  0.]	18
406	[-1.  1. -1. ...  0.  0.  0.]	77
407	[-1.  1.  1. ... -1. -1. -1.]	91
408	[-1. -1.  1. ... -1. -1. -1.]	60
409	[ 1.  1. -1. ... -1. -1. -1.]	6
410	[-1. -1.  1. ...  0.  0.  0.]	89
411	[ 1. -1.  1. ... -1. -1. -1.]	20
412	[ 1. -1.  1. ...  0.  0.  0.]	84
413	[-1. -1.  1. ...  1.  1.  1.]	80
414	[ 1. -1.  1. ...  0.  0.  0.]	26
415	[ 1. -1.  1. ...  0.  0.  0.]	9
416	[ 1. -1.  1. ...  0.  0.  0.]	4
417	[ 1. -1.  1. ...  0.  0.  0.]	33
418	[-1.  1. -1. ...  0.  0.  0.]	82
419	[-1. -1. -1. ...  0.  0.  0.]	50
420	[ 1.  1. -1. ... -1. -1.  1.]	80
421	[ 1. -1.  1. ...  0.  0.  0.]	3
422	[ 1. -1.  1. ...  0.  0.  0.]	66
423	[ 1.  1. -1. ...  0.  0.  0.]	40
424	[-1.  1. -1. ... -1. -1. -1.]	33
425	[ 1. -1. -1. ...  0.  0.  0.]	40
426	[ 1. -1. -1. ...  0.  0.  0.]	5
427	[1. 1. 1. ... 0. 0. 0.]	79
428	[ 1. -1. -1. ...  0.  0.  0.]	71
429	[-1. -1.  1. ...  0.  0.  0.]	94
430	[ 1. -1.  1. ...  0.  0.  0.]	42
431	[-1.  1.  1. ... -1. -1. -1.]	58
432	[1. 1. 1. ... 0. 0. 0.]	6
433	[1. 1. 1. ... 0. 0. 0.]	6
434	[ 1. -1.  1. ... -1. -1. -1.]	17
435	[-1. -1.  1. ... -1.  1.  1.]	69
436	[ 1. -1. -1. ...  0.  0.  0.]	66
437	[-1.  1.  1. ...  0.  0.  0.]	81
438	[ 1. -1.  1. ... -1. -1. -1.]	13
439	[ 1. -1. -1. ...  0.  0.  0.]	1
440	[-1.  1. -1. ...  0.  0.  0.]	55
441	[ 1.  1. -1. ...  0.  0.  0.]	38
442	[ 1.  1. -1. ...  0.  0.  0.]	27
443	[ 1.  1. -1. ... -1. -1. -1.]	20
444	[ 1.  1. -1. ...  0.  0.  0.]	63
445	[ 1. -1.  1. ...  0.  0.  0.]	2
446	[ 1.  1. -1. ...  0.  0.  0.]	82
447	[-1. -1.  1. ... -1. -1.  1.]	80
448	[-1.  1. -1. ...  0.  0.  0.]	53
449	[ 1. -1.  1. ...  0.  0.  0.]	72
450	[ 1.  1. -1. ...  1.  1.  1.]	13
451	[ 1.  1. -1. ...  0.  0.  0.]	84
452	[-1.  1. -1. ...  0.  0.  0.]	46
453	[-1.  1.  1. ...  0.  0.  0.]	27
454	[1. 1. 1. ... 0. 0. 0.]	86
455	[1. 1. 1. ... 0. 0. 0.]	78
456	[-1.  1.  1. ...  0.  0.  0.]	7
457	[-1.  1. -1. ... -1. -1. -1.]	49
458	[-1. -1.  1. ...  0.  0.  0.]	70
459	[-1.  1.  1. ...  0.  0.  0.]	51
460	[1. 1. 1. ... 0. 0. 0.]	32
461	[ 1. -1.  1. ...  0.  0.  0.]	31
462	[ 1. -1.  1. ...  0.  0.  0.]	56
463	[1. 1. 1. ... 0. 0. 0.]	68
464	[-1. -1. -1. ...  0.  0.  0.]	89
465	[-1. -1.  1. ... -1. -1. -1.]	80
466	[-1.  1.  1. ...  0.  0.  0.]	19
467	[-1.  1. -1. ...  0.  0.  0.]	40
468	[1. 1. 1. ... 0. 0. 0.]	94
469	[-1.  1.  1. ...  0.  0.  0.]	33
470	[-1.  1.  1. ...  0.  0.  0.]	86
471	[-1.  1. -1. ...  0.  0.  0.]	27
472	[ 1.  1. -1. ...  0.  0.  0.]	18
473	[ 1. -1.  1. ...  0.  0.  0.]	1
474	[-1.  1. -1. ...  0.  0.  0.]	33
475	[-1.  1.  1. ...  0.  0.  0.]	49
476	[-1.  1. -1. ...  0.  0.  0.]	19
477	[ 1.  1. -1. ... -1. -1. -1.]	83
478	[ 1. -1.  1. ...  0.  0.  0.]	4
479	[-1. -1.  1. ... -1. -1. -1.]	83
480	[-1. -1.  1. ... -1. -1. -1.]	10
481	[ 1. -1.  1. ...  0.  0.  0.]	34
482	[ 1. -1.  1. ...  0.  0.  0.]	4
483	[-1. -1.  1. ...  1. -1. -1.]	58
484	[-1.  1. -1. ...  0.  0.  0.]	64
485	[-1. -1.  1. ...  0.  0.  0.]	55
486	[ 1. -1.  1. ...  0.  0.  0.]	37
487	[-1.  1.  1. ... -1. -1. -1.]	91
488	[-1.  1.  1. ...  0.  0.  0.]	23
489	[ 1. -1. -1. ...  0.  0.  0.]	74
490	[ 1. -1.  1. ...  0.  0.  0.]	87
491	[ 1. -1. -1. ...  0.  0.  0.]	40
492	[ 1.  1.  1. ...  1. -1.  1.]	13
493	[ 1.  1. -1. ...  0.  0.  0.]	31
494	[-1. -1. -1. ...  0.  0.  0.]	81
495	[-1.  1. -1. ...  0.  0.  0.]	63
496	[ 1.  1. -1. ...  0.  0.  0.]	37
497	[-1. -1.  1. ...  0.  0.  0.]	22
498	[1. 1. 1. ... 0. 0. 0.]	77
499	[ 1. -1.  1. ...  0.  0.  0.]	5
500	[ 1. -1.  1. ...  0.  0.  0.]	0
501	[ 1. -1.  1. ... -1. -1. -1.]	21
502	[-1.  1. -1. ...  1.  1.  1.]	10
503	[-1.  1. -1. ... -1. -1. -1.]	33
504	[-1.  1.  1. ...  0.  0.  0.]	14
505	[ 1.  1. -1. ...  0.  0.  0.]	64
506	[-1.  1. -1. ...  0.  0.  0.]	59
507	[ 1. -1.  1. ...  0.  0.  0.]	5
508	[-1. -1.  1. ...  0.  0.  0.]	63
